UNITID,SANIN01,SANIT01,SANIN02,SANIT02,SANIN03,SANIT03,SANIN04,SANIT04,SANIN05,SANIT05,SANIN06,SANIT06,SANIN07,SANIT07,SANIN08,SANIT08,SANIN09,SANIT09,SANIN10,SANIT10,SANIN11,SANIT11,SANIN12,SANIT12,SANIN13,SANIT13,SANIN14,SANIT14
153621,82,4017779,0,0,0,0,21,855752,5,746720,10,517365,4,248111,22,882664,0,0,0,0,8,318909,12,448258,0,0,0,0
153630,283,13733120,0,0,0,0,11,510948,57,4183102,18,745834,21,1187577,73,3084231,6,251880,41,1486409,5,218964,46,1854677,4,174034,1,35464
153658,4729,327452014,89,4977252,0,0,625,38360154,337,50100468,965,62204335,847,60840042,377,37498486,101,7981533,918,39609586,0,0,253,14451035,115,6479989,102,4949134
153737,533,32514262,0,0,0,0,98,5335725,107,10256775,56,3174244,30,1868610,44,2434492,4,213723,71,3956807,6,300805,97,4083136,18,811779,2,78166
153825,203,9982690,0,0,0,0,11,654679,31,2805116,12,653995,14,706919,52,2229200,4,160700,41,1350581,1,34840,26,899170,11,487490,0,0
153834,188,9677151,0,0,0,0,15,760611,33,3076732,17,1056138,18,995911,24,1143971,0,0,32,913432,0,0,37,1253012,12,477344,0,0
153861,244,8847194,0,0,0,0,36,1394588,20,1113518,29,1107015,30,1289064,36,1297132,2,52153,30,822253,9,253502,43,1244785,7,231550,2,41634
153922,97,5305562,0,0,0,0,17,758014,21,1907296,5,264217,8,557787,13,559395,0,0,9,235032,1,46641,19,790251,4,186929,0,0
153977,67,3204695,0,0,0,0,25,1121702,24,1241094,3,140004,4,250702,0,0,0,0,3,101296,0,0,8,349897,0,0,0,0
154004,168,9249090,0,0,0,0,8,416320,30,2907400,5,315560,8,408170,44,2297110,3,164220,25,894540,0,0,38,1530170,7,315600,0,0
